# Simulation data produced by HOMEO---the homeostat simulation program
# Data printed on: 2013-05-29 10:53:55.895793
# There were exactly 4 units in this simulation
Unit-1,Unit-1_unisel,Unit-2,Unit-2_unisel,Unit-3,Unit-3_unisel,Unit-4,Unit-4_unisel,
48,-0.37825000,0.00000000,0.06662000,0.00000000,-0.57688000,0.00000000,-0.44650000,0.00000000
49,-0.36221000,0.00000000,0.05682000,0.00000000,-0.56935000,0.00000000,-0.44494000,0.00000000
50,-0.36332000,0.00000000,0.07536000,0.00000000,-0.56474000,0.00000000,-0.44080000,0.00000000
51,-0.35852000,0.00000000,0.08528000,0.00000000,-0.56291000,0.00000000,-0.44485000,0.00000000
52,-0.35715000,0.00000000,0.08554000,0.00000000,-0.56944000,0.00000000,-0.44060000,0.00000000
53,-0.38075000,0.00000000,0.09126000,0.00000000,-0.54031000,0.00000000,-0.44421000,0.00000000
54,-0.40757000,0.00000000,0.09394000,0.00000000,-0.54325000,0.00000000,-0.43704000,0.00000000
55,-0.41073000,0.00000000,0.07532000,0.00000000,-0.55857000,0.00000000,-0.43076000,0.00000000
56,-0.41005000,0.00000000,0.08801000,0.00000000,-0.55396000,0.00000000,-0.43171000,0.00000000
57,-0.40505000,0.00000000,0.13247000,0.00000000,-0.55911000,0.00000000,-0.41845000,0.00000000
58,-0.42824000,0.00000000,0.14366000,0.00000000,-0.55821000,0.00000000,-0.41024000,0.00000000
59,-0.40865000,0.00000000,0.16294000,0.00000000,-0.56235000,0.00000000,-0.40517000,0.00000000
60,-0.42504000,0.00000000,0.17910000,0.00000000,-0.56321000,0.00000000,-0.39505000,0.00000000
61,-0.44705000,0.00000000,0.21899000,0.00000000,-0.56333000,0.00000000,-0.39221000,0.00000000
62,-0.45270000,0.00000000,0.24945000,0.00000000,-0.54704000,0.00000000,-0.39579000,0.00000000
63,-0.45362000,0.00000000,0.26212000,0.00000000,-0.55264000,0.00000000,-0.39312000,0.00000000
64,-0.43110000,0.00000000,0.29623000,0.00000000,-0.56600000,0.00000000,-0.39258000,0.00000000
65,-0.43966000,0.00000000,0.33506000,0.00000000,-0.57553000,0.00000000,-0.38952000,0.00000000
66,-0.42466000,0.00000000,0.32584000,0.00000000,-0.55658000,0.00000000,-0.37731000,0.00000000
67,-0.42329000,0.00000000,0.30914000,0.00000000,-0.54108000,0.00000000,-0.37289000,0.00000000
68,-0.41855000,0.00000000,0.33608000,0.00000000,-0.54203000,0.00000000,-0.37264000,0.00000000
69,-0.41425000,0.00000000,0.35319000,0.00000000,-0.55384000,0.00000000,-0.37248000,0.00000000
70,-0.42251000,0.00000000,0.34709000,0.00000000,-0.57790000,0.00000000,-0.36575000,0.00000000
71,-0.43761000,0.00000000,0.33846000,0.00000000,-0.55126000,0.00000000,-0.36166000,0.00000000
72,-0.45698000,0.00000000,0.31604000,0.00000000,-0.54513000,0.00000000,-0.36118000,0.00000000
73,-0.47560000,0.00000000,0.32919000,0.00000000,-0.55499000,0.00000000,-0.35325000,0.00000000
74,-0.47344000,0.00000000,0.32199000,0.00000000,-0.57152000,0.00000000,-0.35308000,0.00000000
75,-0.49348000,0.00000000,0.32903000,0.00000000,-0.57861000,0.00000000,-0.34800000,0.00000000
76,-0.51105000,0.00000000,0.32751000,0.00000000,-0.57206000,0.00000000,-0.33765000,0.00000000
77,-0.51522000,0.00000000,0.33620000,0.00000000,-0.56536000,0.00000000,-0.34708000,0.00000000
78,-0.51788000,0.00000000,0.33589000,0.00000000,-0.57056000,0.00000000,-0.35014000,0.00000000
79,-0.51232000,0.00000000,0.34997000,0.00000000,-0.56784000,0.00000000,-0.33984000,0.00000000
80,-0.52005000,0.00000000,0.35001000,0.00000000,-0.54940000,0.00000000,-0.32920000,0.00000000
81,-0.52581000,0.00000000,0.40078000,0.00000000,-0.56174000,0.00000000,-0.32624000,0.00000000
82,-0.54785000,0.00000000,0.38813000,0.00000000,-0.56972000,0.00000000,-0.32444000,0.00000000
83,-0.52918000,0.00000000,0.41420000,0.00000000,-0.56616000,0.00000000,-0.31120000,0.00000000
84,-0.54527000,0.00000000,0.43510000,0.00000000,-0.56770000,0.00000000,-0.30921000,0.00000000
85,-0.54957000,0.00000000,0.44321000,0.00000000,-0.54987000,0.00000000,-0.31409000,0.00000000
86,-0.55015000,0.00000000,0.48606000,0.00000000,-0.53720000,0.00000000,-0.30851000,0.00000000
87,-0.56223000,0.00000000,0.50131000,0.00000000,-0.53008000,0.00000000,-0.30389000,0.00000000
88,-0.56712000,0.00000000,0.53629000,0.00000000,-0.54287000,0.00000000,-0.29808000,0.00000000
89,-0.57604000,0.00000000,0.56094000,0.00000000,-0.53065000,0.00000000,-0.29472000,0.00000000
90,-0.56869000,0.00000000,0.57571000,0.00000000,-0.52437000,0.00000000,-0.29141000,0.00000000
91,-0.55653000,0.00000000,0.56023000,0.00000000,-0.54579000,0.00000000,-0.27877000,0.00000000
92,-0.57663000,0.00000000,0.57397000,0.00000000,-0.52398000,0.00000000,-0.27330000,0.00000000
93,-0.57741000,0.00000000,0.58207000,0.00000000,-0.52603000,0.00000000,-0.27751000,0.00000000
