# Simulation data produced by HOMEO---the homeostat simulation program
# Data printed on: 2013-05-10 12:11:29.316084
# There were exactly 2 units in this simulation
Time,Environment,Environment-unisel,Agent,Agent-unisel,
412,9.28508619,0.00000000,2.86308109,1.00000000,
413,9.24308237,0.00000000,2.35331933,1.00000000,
414,9.11856345,0.00000000,1.93253936,1.00000000,
415,9.04645333,0.00000000,1.53710541,1.00000000,
416,8.99826913,0.00000000,1.12432943,1.00000000,
417,8.87584439,0.00000000,0.70411414,1.00000000,
418,8.80121856,0.00000000,0.29428879,1.00000000,
419,8.66862421,0.00000000,-0.12925616,1.00000000,
420,8.46679982,0.00000000,-0.53743892,1.00000000,
421,8.41157942,0.00000000,-0.96677965,1.00000000,
422,8.38374227,0.00000000,-1.35233344,1.00000000,
423,8.27045085,0.00000000,-1.78705281,1.00000000,
424,8.19547885,0.00000000,-2.26331156,1.00000000,
425,8.08793052,0.00000000,-2.59225923,1.00000000,
426,8.05966496,0.00000000,-2.93267975,1.00000000,
427,7.97624738,0.00000000,-3.24466074,1.00000000,
428,7.85837641,0.00000000,-3.78786472,1.00000000,
429,7.76121708,0.00000000,-4.05268524,1.00000000,
430,7.67142416,0.00000000,-4.37819644,1.00000000,
431,7.59364238,0.00000000,-4.98902934,1.00000000,
432,7.49288203,0.00000000,-5.26823890,1.00000000,
433,7.38093207,0.00000000,-5.53474850,1.00000000,
434,7.31554276,0.00000000,-5.95714533,1.00000000,
435,7.24200979,0.00000000,-6.24691808,1.00000000,
436,7.14836959,0.00000000,-6.30061279,1.00000000,
437,7.05420479,0.00000000,-6.82471762,1.00000000,
438,6.97579909,0.00000000,-7.20205249,1.00000000,
439,6.89288349,0.00000000,-7.86632037,1.00000000,
440,6.84664322,0.00000000,-8.28175446,1.00000000,
441,6.75734061,0.00000000,-8.10936152,1.00000000,
442,6.69838528,0.00000000,-8.22336401,1.00000000,
443,6.71879372,0.00000000,-8.46983277,1.00000000,
444,6.67038282,0.00000000,-8.63800273,1.00000000,
445,6.58805784,0.00000000,-8.86203217,1.00000000,
446,6.51296841,0.00000000,-9.22481859,1.00000000,
447,6.42132697,0.00000000,-9.58577963,1.00000000,
448,6.35598347,0.00000000,-9.85690553,1.00000000,
449,6.32303069,0.00000000,-10.00000000,1.00000000,
450,6.24443321,0.00000000,-10.00000000,1.00000000,
451,6.25182192,0.00000000,-9.44222913,1.00000000,
452,6.17498017,0.00000000,-9.14448140,1.00000000,
453,6.10151525,0.00000000,-9.18301063,1.00000000,
454,6.05948872,0.00000000,-8.67061432,1.00000000,
455,5.95062733,0.00000000,-8.52249629,1.00000000,
456,5.89689095,0.00000000,-8.44752134,1.00000000,
457,5.78721660,0.00000000,-8.28397135,1.00000000,
458,5.74427537,0.00000000,-8.67079738,1.00000000,
459,5.66019868,0.00000000,-8.00976919,1.00000000,
460,5.63888331,0.00000000,-8.20284474,1.00000000,
461,5.57616293,0.00000000,-7.88246965,1.00000000,
462,5.52740448,0.00000000,-7.43302406,1.00000000,
463,5.49062702,0.00000000,-7.33987375,1.00000000,
464,5.42792297,0.00000000,-7.22472336,1.00000000,
465,5.38093917,0.00000000,-6.79510447,1.00000000,
466,5.29171375,0.00000000,-6.43571858,1.00000000,
467,5.27546028,0.00000000,-6.13157255,1.00000000,
468,5.24886188,0.00000000,-6.08710972,1.00000000,
469,5.17944903,0.00000000,-5.81448219,1.00000000,
470,5.11274525,0.00000000,-5.61495952,1.00000000,
471,5.03089399,0.00000000,-5.60601864,1.00000000,
472,5.00069872,0.00000000,-5.50448979,1.00000000,
473,4.93571454,0.00000000,-5.47895560,1.00000000,
474,4.91613137,0.00000000,-5.67956394,1.00000000,
475,4.88661289,0.00000000,-5.30299041,1.00000000,
476,4.83176959,0.00000000,-5.11054053,1.00000000,
477,4.77480494,0.00000000,-5.12881706,1.00000000,
478,4.77281143,0.00000000,-5.07627557,1.00000000,
479,4.69207160,0.00000000,-4.92752594,1.00000000,
480,4.67299013,0.00000000,-5.09627734,1.00000000,
481,4.64895493,0.00000000,-4.86430117,1.00000000,
482,4.59136576,0.00000000,-4.60978694,1.00000000,
483,4.54143725,0.00000000,-4.55962180,1.00000000,
484,4.45637106,0.00000000,-4.64076681,1.00000000,
485,4.41904567,0.00000000,-4.64397795,1.00000000,
486,4.39293355,0.00000000,-4.47445831,1.00000000,
487,4.40679390,0.00000000,-4.38015556,1.00000000,
488,4.34093795,0.00000000,-4.22200692,1.00000000,
489,4.30026520,0.00000000,-4.08425654,1.00000000,
490,4.27963310,0.00000000,-3.82005856,1.00000000,
491,4.25156432,0.00000000,-3.95250437,1.00000000,
492,4.21244423,0.00000000,-3.78522317,1.00000000,
493,4.13822156,0.00000000,-3.73371159,1.00000000,
494,4.08519675,0.00000000,-3.46359744,1.00000000,
495,4.07449957,0.00000000,-3.24410855,1.00000000,
496,4.03870346,0.00000000,-3.27757190,1.00000000,
497,3.97995802,0.00000000,-3.15830135,1.00000000,
498,3.95113748,0.00000000,-3.10032388,1.00000000,
499,3.93644496,0.00000000,-2.81978326,1.00000000,
500,3.90100747,0.00000000,-2.67678237,1.00000000,
501,3.87695805,0.00000000,-2.49282399,1.00000000,
502,3.80335934,0.00000000,-2.23220253,1.00000000,
503,3.76860717,0.00000000,-2.10113415,1.00000000,
504,3.73029962,0.00000000,-2.03299746,1.00000000,
505,3.70917709,0.00000000,-1.94045794,1.00000000,
506,3.68307690,0.00000000,-1.86615237,1.00000000,
507,3.61626679,0.00000000,-1.78140254,1.00000000,
508,3.56501225,0.00000000,-1.66073866,1.00000000,
509,3.54464421,0.00000000,-1.48597337,1.00000000,
510,3.51647666,0.00000000,-1.38884651,1.00000000,
511,3.50527554,0.00000000,-1.35668230,1.00000000,
512,3.42643182,0.00000000,-1.19115455,1.00000000,
513,3.39550018,0.00000000,-1.02773155,1.00000000,
514,3.38790110,0.00000000,-0.91981774,1.00000000,
515,3.33480151,0.00000000,-0.81751882,1.00000000,
516,3.30135389,0.00000000,-0.66796128,1.00000000,
517,3.22990311,0.00000000,-0.57714244,1.00000000,
518,3.18587584,0.00000000,-0.47256617,1.00000000,
519,3.16140168,0.00000000,-0.35461921,1.00000000,
520,3.11778591,0.00000000,-0.24206869,1.00000000,
521,3.08911498,0.00000000,-0.13298712,1.00000000,
522,3.06559257,0.00000000,-0.03125234,1.00000000,
